风机名,状态码,状态码描述,激活时间,复位时间
10,300901,变桨轴1驱动器与控制器通讯故障,2021-11-20 11:24:59:396,2021-11-20 11:24:59:796
10,300902,变桨轴2驱动器与控制器通讯故障,2021-11-20 11:24:59:396,2021-11-20 11:24:59:796
10,300903,变桨轴3驱动器与控制器通讯故障,2021-11-20 11:24:59:396,2021-11-20 11:24:59:796
10,800070,安全系统紧停,2021-11-20 11:24:59:217,2021-11-20 11:24:59:797
10,800002,机舱紧停开关触发,2021-11-20 11:24:59:216,2021-11-20 11:24:59:796
10,800017,偏航扭缆限位开关动作,2021-11-20 11:24:59:216,2021-11-20 11:24:59:796
10,300901,变桨轴1驱动器与控制器通讯故障,2021-11-20 11:24:59:216,2021-11-20 11:24:59:236
10,800003,机舱远程紧停开关触发,2021-11-20 11:24:59:216,2021-11-20 11:24:59:796
10,300903,变桨轴3驱动器与控制器通讯故障,2021-11-20 11:24:59:216,2021-11-20 11:24:59:236
10,800011,风轮超速1紧停,2021-11-20 11:24:59:216,2021-11-20 11:24:59:796
10,300902,变桨轴2驱动器与控制器通讯故障,2021-11-20 11:24:59:216,2021-11-20 11:24:59:236
10,800015,机舱振动开关动作,2021-11-20 11:24:59:216,2021-11-20 11:24:59:796
10,300901,变桨轴1驱动器与控制器通讯故障,2021-11-20 11:24:58:556,2021-11-20 11:24:59:196
10,300903,变桨轴3驱动器与控制器通讯故障,2021-11-20 11:24:58:556,2021-11-20 11:24:59:196
10,300902,变桨轴2驱动器与控制器通讯故障,2021-11-20 11:24:58:556,2021-11-20 11:24:59:196
10,800070,安全系统紧停,2021-11-20 11:24:58:377,2021-11-20 11:24:59:197
10,300901,变桨轴1驱动器与控制器通讯故障,2021-11-20 11:24:58:376,2021-11-20 11:24:58:396
10,800011,风轮超速1紧停,2021-11-20 11:24:58:376,2021-11-20 11:24:59:196
10,300902,变桨轴2驱动器与控制器通讯故障,2021-11-20 11:24:58:376,2021-11-20 11:24:58:396
10,800002,机舱紧停开关触发,2021-11-20 11:24:58:376,2021-11-20 11:24:59:196
10,800017,偏航扭缆限位开关动作,2021-11-20 11:24:58:376,2021-11-20 11:24:59:196
10,300903,变桨轴3驱动器与控制器通讯故障,2021-11-20 11:24:58:376,2021-11-20 11:24:58:396
10,800015,机舱振动开关动作,2021-11-20 11:24:58:376,2021-11-20 11:24:59:196
10,800003,机舱远程紧停开关触发,2021-11-20 11:24:58:376,2021-11-20 11:24:59:196
10,300903,变桨轴3驱动器与控制器通讯故障,2021-11-20 11:24:57:776,2021-11-20 11:24:58:356
10,300902,变桨轴2驱动器与控制器通讯故障,2021-11-20 11:24:57:776,2021-11-20 11:24:58:356
